mac_cd1,d_size,l_size,mac_cd2,d_size,l_size,,,d_size,l_size
N00007,15.02043423,281.658493,N00090,14.07284768,157.0300662,,mean(all data),14,208
N00008,17.05071521,266.4737321,T00004,10,195,,,,
N00015,15.4410596,286.7757616,T00006,16.68,212.48,,,,
N00023,14.75804376,234.6305019,T00008,18,94,,,,
N00024,16.66325224,265.4381562,T00009,24.20167286,320.6434944,,,,
N00040,24.65065502,389.8959243,T00010,9.70464135,114.5840717,,,,
N00041,29.5374376,473.8148087,T00033,25.70652174,436.6266722,,,,
N00052,11.69398207,165.7489117,T00037,10.28076923,153.4828571,,,,
N00054,9.493670886,132.5182969,T00038,9.047502449,136.6731146,,,,
N00056,17.79710145,413.6811594,T00039,19.06548788,390.0794368,,,,
N00069,7.194130926,104.6845372,T00041,3.96868476,58.85281837,,,,
N00070,23.58471761,245.7609635,T00127,16.58732057,229.3873206,,,,
N00082,12,150,T00176,8.356699201,120.8916593,,,,
N00084,11.69423286,165.491839,T00199,40.3030303,504.8892774,,,,
N00085,16.24489796,163.7142857,T00200,38.1627907,503.8294574,,,,
N00086,13.1239861,180.0885284,,,,,,,
N00087,19.58911565,274.5368707,,,,,,,
N00106,4.551330798,63.80627376,,,,,,,
N00107,4.180894309,70.22784553,,,,,,,
N00108,40.46485261,518.1054422,,,,,,,
N00109,41.33333333,512.7274359,,,,,,,
N00110,20.83333333,251.7666667,,,,,,,
N00111,14.58134715,302.0331606,,,,,,,
N00138,6.63724854,93.34581441,,,,,,,
N00146,25.91346154,304.2217949,,,,,,,
N00150,25,11,,,,,,,
T00050,5.802403204,71.8641522,,,,,,,
T00054,7.293383271,87.37578027,,,,,,,
,,,,,,,,,
,,,,,,,,,
